video_id,title,published_at,view_count,channel_id
2w9iJ-kKLHk,"Trump pushed to meet with Putin as Russia, Ukraine hold direct peace talks",2025-05-17T08:45:00Z,74694,UCXIJgqnII2ZOINSWNOGFThA
EbHWLt_IOsc,Behind the Palace of King David from the Bible,2025-05-17T08:00:15Z,31758,UCXIJgqnII2ZOINSWNOGFThA
BYHonJTLXp4,"'VERY CONCERNING': Nearly a dozen inmates escape jail, sparking massive search",2025-05-17T07:15:01Z,58889,UCXIJgqnII2ZOINSWNOGFThA
vFE_zQz9_ik,INSIDE JOB?: Escaped inmates may have received ‘help from the outside’,2025-05-17T05:45:08Z,83366,UCXIJgqnII2ZOINSWNOGFThA
tGVTCtnqZXc,Peter Doocy shares sense of vindication about Biden health questions,2025-05-17T05:00:48Z,110495,UCXIJgqnII2ZOINSWNOGFThA
4kQN6pimbhE,'DIRTY COP': Comey could face comeuppance for '86 47' Trump message,2025-05-17T04:15:00Z,289701,UCXIJgqnII2ZOINSWNOGFThA
F0ErFQ5TBbY,Gutfeld: Comey claims he meant no harm?,2025-05-17T03:30:08Z,152063,UCXIJgqnII2ZOINSWNOGFThA
okQKJciPGEM,Gutfeld: Dems held a fake party for Kamala Harris?,2025-05-17T02:45:06Z,470684,UCXIJgqnII2ZOINSWNOGFThA
3ViidQjlc3Q,CAUGHT ON CAM: Video shows inmates escaping jail #shorts #breakingnews #us #crime #news #viralvideo,2025-05-17T02:24:28Z,62163,UCXIJgqnII2ZOINSWNOGFThA
oZTupX3809s,Trump opens up about assassination attempts,2025-05-17T02:00:56Z,387366,UCXIJgqnII2ZOINSWNOGFThA
6a0H8MAfoPI,LEAKED AUDIO: Biden-Hur audio reveals former president's decline #short #news #us #breakingnews,2025-05-17T01:26:27Z,307040,UCXIJgqnII2ZOINSWNOGFThA
uiJ7zCzOy-o,Watters: Here's what this reveals about Biden,2025-05-17T01:15:06Z,387216,UCXIJgqnII2ZOINSWNOGFThA
DUgAM3gh4tA,"BOMBSHELL: 'All lies' from everyone in the Biden admin, former DHS official says",2025-05-17T00:30:10Z,307683,UCXIJgqnII2ZOINSWNOGFThA
